casenew	weighta	P550tpr	P344pr	P425r	A172	A093r	A094r	A121r	SexHRP	A049r	G018r	G019r	Gorx
3383	3.28939186225	382.806200325834	320.304	2	1	4	5	2	1	2	2	1	5
13732	4.1383021395	337.32	72.83	2	1	4	5	1	2	2	2	1	1
182	4.85297112775	198.72	201.099	2	2	4	5	3	1	2	2	1	12
9860	4.4226853285	135.581565242401	113.57	1	2	2	3	1	2	1	1	1	2
14633	6.73560915	456.367267536052	852.6915	2	1	4	5	3	1	3	3	1	3
1010	6.26526310625	798.100996238245	1184.99	1	1	4	1	3	1	3	3	1	10
9182	7.38762890375	134.37	329.462	2	2	4	5	3	1	1	1	1	7
7891	5.98203448775	567.219136011371	251.75	1	2	1	3	2	1	3	3	1	6
9173	6.286098779	550.604682581156	1184.99	1	1	1	1	3	1	4	2	3	7
1623	4.94516947125	1077.22544269966	1040.85692307692	1	2	1	1	3	2	2	2	1	2
11930	6.99573420075	1104.13288758621	1020.85	2	1	4	5	3	1	5	4	1	2
13109	4.9903691775	254.328947750363	560	1	2	1	1	2	1	2	2	1	2
12497	5.4393255175	153.225	132.212	2	1	4	5	3	2	1	1	1	2
8292	4.1123906155	399.632881643743	840.4625	1	1	1	2	3	1	1	1	1	8
13438	4.99696570175	540.020379367358	1184.99	1	1	1	1	3	2	1	1	1	3
9517	8.7576792615	166.068647606383	125.322	2	2	4	5	3	2	1	1	1	11
58	3.40144567775	357.825775280641	558.952	2	1	4	5	3	1	2	2	1	3
7395	3.87984698775	773.816572189049	1184.99	1	1	1	2	3	2	3	2	2	7
1202	4.475254135	69.84	113.81	2	2	4	5	1	1	1	1	1	6
12119	7.129101263	459.634617283282	368.14	1	2	2	3	3	2	3	2	2	1
13107	5.1250441255	519.675291732254	1184.99	1	1	1	1	3	1	3	2	2	8
6956	4.82044131075	323.678530305517	950.81	1	1	1	1	3	2	3	2	2	2
13211	6.46789927825	233.31	444.49	1	2	1	1	2	1	2	2	1	7
10259	5.53836544975	445.438836774172	632.9	1	2	1	1	3	1	1	1	1	2
219	6.48569159775	249.018231821895	790.8875	1	1	1	1	3	1	1	1	1	6
4270	3.8733025805	367.293365472709	285.2	2	1	2	2	3	2	2	1	2	8
13165	8.40869928275	26.055	50.5	2	2	3	4	2	1	1	1	1	8
13155	3.97837052075	558.135881376792	707.68	1	1	1	3	3	1	3	2	2	9
10270	3.93713730875	826.094440334574	1184.99	1	1	1	1	3	2	2	2	1	9
14143	6.3483640175	264.407635265506	371.34	1	2	1	3	2	1	1	1	1	5
